chicken_Canon_in_d.wav,chicken
chicken_Elise.wav,chicken
chicken_JingleBell.wav,x_chicken
chicken_Mariage.wav,chicken
chicken_Star.wav,chicken
pika_Canon_in_d.wav,pika
pika_Elise.wav,pika
pika_JingleBell.wav,x_pika
pika_Mariage.wav,pika
pika_Star.wav,pika
teacher_Canon_in_d.wav,teacher
teacher_Elise.wav,teacher
teacher_JingleBell.wav,x_teacher
teacher_Mariage.wav,teacher
teacher_Star.wav,teacher
yee_Canon_in_d.wav,yee
yee_Elise.wav,yee
yee_JingleBell.wav,x_yee
yee_Mariage.wav,yee
yee_Star.wav,yee
